产品,类别,目标用户,核心交互,AI能力,多视角能力,史料/引用能力,地图能力,时间线能力,教学适配,商业模式,对Global History Lens的启发
TimelineJS,时间线/故事线,教师/学生/媒体/公众,Google表格生成互动时间线,无,弱,中,中,强,中,免费/开源,学习轻量时间线创作但叠加多视角与证据
StoryMapJS,地图叙事,教师/媒体/公众,地图地点slide和大图叙事,无,弱,弱,强,中,中,免费,历史行旅可学习地点叙事结构
ClioVis,数字人文/教育工具,教师/学生/研究者,互动时间线/关系可视化/协作,无,中,强,中,强,强,免费+付费,来源绑定和协作是课堂模式参考
Sutori,课堂故事线,教师/学生,多媒体故事线/时间线/测验,无,弱,弱,弱,强,强,教育订阅,适合项目制学习和学生作品展示
Historypin,社区历史地图,社区/机构/教育者/公众,照片声音视频pin到地图和collection,无,中,中,强,中,中,免费+服务,可加入地方记忆和公众史素材上传
American Panorama,历史地图集,学生/教师/研究者/公众,互动历史地图/滑块/数据探索,无,中,强,强,中,中,学术项目,学习历史数据地图和时间滑块
Google Arts & Culture,数字展览,公众/博物馆/文化学习者,线上展览/高清藏品/地点/游戏,弱,弱,中,中,弱,中,免费/生态,视觉沉浸和展陈质量可参考
Smithsonian Learning Lab,数字教育资源,教师/学生/家庭,馆藏资源collection/annotation/assignment,无,中,强,弱,弱,强,免费/机构,教师任务和学习活动包值得借鉴
Europeana,文化遗产聚合,研究者/公众/机构,跨机构文化遗产搜索/保存/分享,无,弱,强,弱,弱,中,公共文化平台,学习元数据/来源机构/授权标注
World History Encyclopedia,历史百科/教育,学生/教师/历史爱好者,文章/地图/时间线/媒体库/测验,弱,中,强,中,强,强,非营利+会员,编辑规范和教育内容体系可借鉴
History Hit,历史内容订阅,历史爱好者,纪录片/播客/文章,无,中,中,弱,弱,弱,订阅,可参考会员专题和专家内容但交互较弱
KnowledgeTrail,AI研究原型,研究者/探索型学习者,AI生成式时间线/问题驱动探索,强,中,中,弱,强,研究中,研究原型,AI时间线和来源可信度问题是核心参考
